"ODS Code","Measure","Percentage","Over Target","Total","Year"
"NQT","62 Day Wait for first treatment By Cancer","0.921","10.0","127.0","2018"
"NYT","62 Day Wait for first treatment By Cancer","0.940","9.5","158.5","2018"
"RL1","62 Day Wait for first treatment By Cancer","0.630","8.5","23.0","2018"
"NV1","62 Day Wait for first treatment By Cancer","0.571","6.0","14.0","2018"
"NVM","62 Day Wait for first treatment By Cancer","0.906","6.0","63.5","2018"
"NYG","62 Day Wait for first treatment By Cancer","0.983","5.5","330.0","2018"
"RY2","62 Day Wait for first treatment By Cancer","0.978","4.5","202.0","2018"
"AQK","62 Day Wait for first treatment By Cancer","0.989","2.0","186.5","2018"
"RWR","62 Day Wait for first treatment By Cancer","0.333","1.0","1.5","2018"
"RDR","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2018"
"RV3","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2018"
"RYF","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2018"
"RRP","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2018"
"RET","62 Day Wait for first treatment By Cancer","1.000","0.0","1.5","2018"
"RP4","62 Day Wait for first treatment By Cancer","1.000","0.0","6.5","2018"
"RRE","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2018"
"RHA","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2018"
"NT2","62 Day Wait for first treatment By Cancer","1.000","0.0","1.0","2018"
"RTQ","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2018"
"NDA","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2018"
"RBS","62 Day Wait for first treatment By Cancer","1.000","0","4","2018"
"RP6","62 Day Wait for first treatment By Cancer","1.000","0.0","3.0","2018"
"RRK","62 Day Wait for first treatment By Cancer","0.692","948.0","3073.5","2019"
"RR8","62 Day Wait for first treatment By Cancer","0.706","787.0","2676.5","2019"
"RWE","62 Day Wait for first treatment By Cancer","0.742","787.0","3055.5","2019"
"RDE","62 Day Wait for first treatment By Cancer","0.738","734.0","2800.0","2019"
"RWP","62 Day Wait for first treatment By Cancer","0.679","722.5","2250.0","2019"
"RTH","62 Day Wait for first treatment By Cancer","0.688","719.5","2307.0","2019"
"RWD","62 Day Wait for first treatment By Cancer","0.693","710.5","2312.5","2019"
"RH8","62 Day Wait for first treatment By Cancer","0.694","678.0","2214.5","2019"
"RHQ","62 Day Wait for first treatment By Cancer","0.717","668.0","2363.0","2019"
"RK9","62 Day Wait for first treatment By Cancer","0.719","657.0","2341.5","2019"
"RM1","62 Day Wait for first treatment By Cancer","0.695","657.0","2155.5","2019"
"RTG","62 Day Wait for first treatment By Cancer","0.736","655.0","2479.5","2019"
"RWA","62 Day Wait for first treatment By Cancer","0.696","634.0","2083.0","2019"
"RTE","62 Day Wait for first treatment By Cancer","0.731","633.5","2355.0","2019"
"RJE","62 Day Wait for first treatment By Cancer","0.738","605.5","2308.5","2019"
"RVV","62 Day Wait for first treatment By Cancer","0.779","596.5","2698.0","2019"
"RXW","62 Day Wait for first treatment By Cancer","0.707","574.0","1958.0","2019"
"RTD","62 Day Wait for first treatment By Cancer","0.770","571.0","2477.5","2019"
"RXH","62 Day Wait for first treatment By Cancer","0.656","567.5","1648.5","2019"
"RQ8","62 Day Wait for first treatment By Cancer","0.626","567.0","1515.0","2019"
"RHM","62 Day Wait for first treatment By Cancer","0.720","556.5","1986.5","2019"
"RL4","62 Day Wait for first treatment By Cancer","0.594","532.5","1312.5","2019"
"RX1","62 Day Wait for first treatment By Cancer","0.758","529.0","2189.5","2019"
"RJ1","62 Day Wait for first treatment By Cancer","0.700","526.5","1753.0","2019"
"RTR","62 Day Wait for first treatment By Cancer","0.782","491.5","2258.5","2019"
"RW6","62 Day Wait for first treatment By Cancer","0.695","488.0","1599.5","2019"
"RWF","62 Day Wait for first treatment By Cancer","0.698","471.5","1563.0","2019"
"R0A","62 Day Wait for first treatment By Cancer","0.756","465.0","1907.0","2019"
"RGN","62 Day Wait for first treatment By Cancer","0.739","455.0","1740.0","2019"
"RXC","62 Day Wait for first treatment By Cancer","0.761","451.5","1892.0","2019"
"RXN","62 Day Wait for first treatment By Cancer","0.748","442.0","1752.5","2019"
"RYR","62 Day Wait for first treatment By Cancer","0.806","416.0","2146.0","2019"
"RWH","62 Day Wait for first treatment By Cancer","0.729","415.0","1530.5","2019"
"RAJ","62 Day Wait for first treatment By Cancer","0.668","406.0","1223.0","2019"
"RAL","62 Day Wait for first treatment By Cancer","0.778","402.0","1813.0","2019"
"RN5","62 Day Wait for first treatment By Cancer","0.769","355.5","1540.5","2019"
"RVJ","62 Day Wait for first treatment By Cancer","0.798","355.5","1760.0","2019"
"RJZ","62 Day Wait for first treatment By Cancer","0.768","352.0","1514.5","2019"
"RBV","62 Day Wait for first treatment By Cancer","0.671","352.0","1069.5","2019"
"RNS","62 Day Wait for first treatment By Cancer","0.733","342.5","1282.0","2019"
"RXF","62 Day Wait for first treatment By Cancer","0.786","338.0","1576.5","2019"
"RHU","62 Day Wait for first treatment By Cancer","0.820","329.5","1827.5","2019"
"RCB","62 Day Wait for first treatment By Cancer","0.811","323.0","1712.0","2019"
"RAE","62 Day Wait for first treatment By Cancer","0.766","302.0","1291.0","2019"
"RTX","62 Day Wait for first treatment By Cancer","0.761","292.0","1223.0","2019"
"RA9","62 Day Wait for first treatment By Cancer","0.772","289.5","1269.0","2019"
"RJL","62 Day Wait for first treatment By Cancer","0.691","288.5","933.5","2019"
"RKB","62 Day Wait for first treatment By Cancer","0.802","287.0","1449.5","2019"
"RTP","62 Day Wait for first treatment By Cancer","0.776","283.0","1263.0","2019"
"RD1","62 Day Wait for first treatment By Cancer","0.813","283.0","1515.0","2019"
"RRV","62 Day Wait for first treatment By Cancer","0.750","282.5","1130.0","2019"
"RJ2","62 Day Wait for first treatment By Cancer","0.745","278.5","1091.5","2019"
"RGT","62 Day Wait for first treatment By Cancer","0.832","277.5","1649.5","2019"
"RDD","62 Day Wait for first treatment By Cancer","0.762","271.0","1139.0","2019"
"RBA","62 Day Wait for first treatment By Cancer","0.778","268.5","1211.0","2019"
"RXL","62 Day Wait for first treatment By Cancer","0.787","265.0","1243.5","2019"
"REF","62 Day Wait for first treatment By Cancer","0.859","264.5","1870.5","2019"
"RNL","62 Day Wait for first treatment By Cancer","0.753","261.5","1057.0","2019"
"RXR","62 Day Wait for first treatment By Cancer","0.827","254.5","1470.0","2019"
"RA2","62 Day Wait for first treatment By Cancer","0.762","252.5","1063.0","2019"
"RC1","62 Day Wait for first treatment By Cancer","0.718","250.0","888.0","2019"
"RQ6","62 Day Wait for first treatment By Cancer","0.687","245.5","784.0","2019"
"REM","62 Day Wait for first treatment By Cancer","0.730","245.0","908.0","2019"
"RF4","62 Day Wait for first treatment By Cancer","0.841","240.5","1513.5","2019"
"RCX","62 Day Wait for first treatment By Cancer","0.743","240.0","934.0","2019"
"RWG","62 Day Wait for first treatment By Cancer","0.795","232.0","1130.0","2019"
"RTF","62 Day Wait for first treatment By Cancer","0.817","231.5","1267.5","2019"
"RXP","62 Day Wait for first treatment By Cancer","0.846","228.0","1484.0","2019"
"RK5","62 Day Wait for first treatment By Cancer","0.802","222.0","1118.5","2019"
"RPY","62 Day Wait for first treatment By Cancer","0.782","217.5","996.5","2019"
"RA7","62 Day Wait for first treatment By Cancer","0.848","216.5","1428.5","2019"
"RXQ","62 Day Wait for first treatment By Cancer","0.826","211.5","1213.5","2019"
"RHW","62 Day Wait for first treatment By Cancer","0.856","208.0","1446.0","2019"
"RPA","62 Day Wait for first treatment By Cancer","0.761","206.5","864.0","2019"
"RDZ","62 Day Wait for first treatment By Cancer","0.876","205.5","1663.0","2019"
"RFS","62 Day Wait for first treatment By Cancer","0.807","195.5","1015.0","2019"
"RJC","62 Day Wait for first treatment By Cancer","0.773","194.0","856.5","2019"
"R1H","62 Day Wait for first treatment By Cancer","0.862","193.0","1403.5","2019"
"RA3","62 Day Wait for first treatment By Cancer","0.569","186.5","432.5","2019"
"RFR","62 Day Wait for first treatment By Cancer","0.755","180.5","736.0","2019"
"RBD","62 Day Wait for first treatment By Cancer","0.787","180.0","847.0","2019"
"RTK","62 Day Wait for first treatment By Cancer","0.818","179.5","985.5","2019"
"RNA","62 Day Wait for first treatment By Cancer","0.843","174.5","1110.5","2019"
"REN","62 Day Wait for first treatment By Cancer","0.729","172.0","634.5","2019"
"RGR","62 Day Wait for first treatment By Cancer","0.823","172.0","972.5","2019"
"RN3","62 Day Wait for first treatment By Cancer","0.854","171.5","1176.5","2019"
"RWJ","62 Day Wait for first treatment By Cancer","0.770","171.5","744.5","2019"
"RD3","62 Day Wait for first treatment By Cancer","0.833","167.0","1002.5","2019"
"RYJ","62 Day Wait for first treatment By Cancer","0.862","161.0","1165.5","2019"
"RR7","62 Day Wait for first treatment By Cancer","0.798","160.5","795.5","2019"
"RP5","62 Day Wait for first treatment By Cancer","0.856","158.0","1096.0","2019"
"R1K","62 Day Wait for first treatment By Cancer","0.852","156.5","1058.5","2019"
"RBN","62 Day Wait for first treatment By Cancer","0.862","155.0","1123.5","2019"
"R1F","62 Day Wait for first treatment By Cancer","0.746","154.5","609.0","2019"
"RD8","62 Day Wait for first treatment By Cancer","0.808","153.0","798.5","2019"
"R0B","62 Day Wait for first treatment By Cancer","0.790","152.0","725.0","2019"
"RNZ","62 Day Wait for first treatment By Cancer","0.829","151.5","884.0","2019"
"RLQ","62 Day Wait for first treatment By Cancer","0.798","149.0","738.5","2019"
"RJ7","62 Day Wait for first treatment By Cancer","0.838","138.0","854.0","2019"
"RGP","62 Day Wait for first treatment By Cancer","0.811","135.5","718.0","2019"
"RVW","62 Day Wait for first treatment By Cancer","0.837","133.5","820.5","2019"
"RBZ","62 Day Wait for first treatment By Cancer","0.801","132.0","664.5","2019"
"RBL","62 Day Wait for first treatment By Cancer","0.878","131.0","1076.5","2019"
"RVY","62 Day Wait for first treatment By Cancer","0.767","130.5","560.0","2019"
"RQM","62 Day Wait for first treatment By Cancer","0.840","128.5","805.5","2019"
"RXK","62 Day Wait for first treatment By Cancer","0.858","127.5","897.0","2019"
"RJR","62 Day Wait for first treatment By Cancer","0.839","126.5","788.0","2019"
"RAP","62 Day Wait for first treatment By Cancer","0.724","124.0","449.0","2019"
"RQW","62 Day Wait for first treatment By Cancer","0.825","124.0","708.5","2019"
"RLN","62 Day Wait for first treatment By Cancer","0.788","119.5","564.5","2019"
"RJ6","62 Day Wait for first treatment By Cancer","0.845","118.5","763.0","2019"
"RM3","62 Day Wait for first treatment By Cancer","0.867","118.0","887.5","2019"
"RWY","62 Day Wait for first treatment By Cancer","0.901","117.0","1182.5","2019"
"RA4","62 Day Wait for first treatment By Cancer","0.844","116.5","746.5","2019"
"RBK","62 Day Wait for first treatment By Cancer","0.823","106.5","601.5","2019"
"RNQ","62 Day Wait for first treatment By Cancer","0.865","106.5","791.5","2019"
"RVR","62 Day Wait for first treatment By Cancer","0.884","104.0","893.5","2019"
"RBT","62 Day Wait for first treatment By Cancer","0.879","104.0","862.0","2019"
"RC9","62 Day Wait for first treatment By Cancer","0.872","102.0","794.5","2019"
"RCD","62 Day Wait for first treatment By Cancer","0.857","101.5","709.0","2019"
"RDU","62 Day Wait for first treatment By Cancer","0.944","100.0","1785.0","2019"
"RLT","62 Day Wait for first treatment By Cancer","0.762","97.5","409.0","2019"
"RAS","62 Day Wait for first treatment By Cancer","0.846","94.0","611.5","2019"
"RJN","62 Day Wait for first treatment By Cancer","0.768","92.0","396.0","2019"
"RRF","62 Day Wait for first treatment By Cancer","0.875","91.0","727.0","2019"
"RFF","62 Day Wait for first treatment By Cancer","0.865","87.0","643.5","2019"
"RCF","62 Day Wait for first treatment By Cancer","0.855","83.5","575.5","2019"
"RMC","62 Day Wait for first treatment By Cancer","0.888","81.0","725.0","2019"
"REP","62 Day Wait for first treatment By Cancer","0.482","73.5","142.0","2019"
"RWW","62 Day Wait for first treatment By Cancer","0.869","66.5","507.0","2019"
"NV3","62 Day Wait for first treatment By Cancer","0.847","64.5","422.0","2019"
"RN7","62 Day Wait for first treatment By Cancer","0.892","58.5","542.0","2019"
"RMP","62 Day Wait for first treatment By Cancer","0.896","57.5","555.0","2019"
"RKE","62 Day Wait for first treatment By Cancer","0.850","49.5","331.0","2019"
"RPC","62 Day Wait for first treatment By Cancer","0.856","49.5","344.0","2019"
"RAX","62 Day Wait for first treatment By Cancer","0.946","47.0","877.5","2019"
"RQX","62 Day Wait for first treatment By Cancer","0.891","36.5","334.0","2019"
"RGM","62 Day Wait for first treatment By Cancer","0.579","29.5","70.0","2019"
"RT3","62 Day Wait for first treatment By Cancer","0.642","28.5","79.5","2019"
"NHT","62 Day Wait for first treatment By Cancer","0.787","19.5","91.5","2019"
"RQ3","62 Day Wait for first treatment By Cancer","0.770","17.5","76.0","2019"
"NQT","62 Day Wait for first treatment By Cancer","0.764","16.5","70.0","2019"
"NWV","62 Day Wait for first treatment By Cancer","0.385","16.0","26.0","2019"
"RAN","62 Day Wait for first treatment By Cancer","0.828","14.5","84.5","2019"
"NYT","62 Day Wait for first treatment By Cancer","0.806","13.0","67.0","2019"
"RBQ","62 Day Wait for first treatment By Cancer","0.929","11.0","154.5","2019"
"NCN","62 Day Wait for first treatment By Cancer","0.930","11.0","157.5","2019"
"NV1","62 Day Wait for first treatment By Cancer","0.627","11.0","29.5","2019"
"RRJ","62 Day Wait for first treatment By Cancer","0.844","10.5","67.5","2019"
"NYG","62 Day Wait for first treatment By Cancer","0.964","9.0","249.0","2019"
"RE9","62 Day Wait for first treatment By Cancer","0.902","7.0","71.5","2019"
"RNN","62 Day Wait for first treatment By Cancer","0.333","5.0","7.5","2019"
"RL1","62 Day Wait for first treatment By Cancer","0.778","4.0","18.0","2019"
"AQK","62 Day Wait for first treatment By Cancer","0.971","3.5","122.0","2019"
"RY2","62 Day Wait for first treatment By Cancer","0.979","2.5","118.0","2019"
"NVM","62 Day Wait for first treatment By Cancer","0.962","2.0","52.5","2019"
"RBS","62 Day Wait for first treatment By Cancer","0.750","2.0","8.0","2019"
"RP6","62 Day Wait for first treatment By Cancer","0.882","1.0","8.5","2019"
"RV3","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2019"
"RP4","62 Day Wait for first treatment By Cancer","1.000","0","1","2019"
"RET","62 Day Wait for first treatment By Cancer","1.000","0.0","8.5","2019"
"NT3","62 Day Wait for first treatment By Cancer","1.000","0.0","1.0","2019"
"RCU","62 Day Wait for first treatment By Cancer","1.000","0.0","1.5","2019"
"RW5","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2019"
"NT2","62 Day Wait for first treatment By Cancer","1.000","0.0","2.0","2019"
"RWR","62 Day Wait for first treatment By Cancer","1.000","0.0","1.0","2019"
"R1C","62 Day Wait for first treatment By Cancer","1.000","0.0","1.5","2019"
